CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
4/15/2022,15:05,QUEENS,11435,40.68896,-73.7982,"(40.688957, -73.79824)",110 AVENUE,LIVERPOOL STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Unspecified,Unspecified,,4519330,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,
1/16/2022,0:00,BROOKLYN,11208,40.66867,-73.8683,"(40.668667, -73.868324)",LINDEN BOULEVARD,CRESCENT STREET,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Following Too Closely,Unspecified,,,4497459,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
8/24/2021,22:04,MANHATTAN,10021,40.77301,-73.9603,"(40.773006, -73.96033)",EAST 76 STREET,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,Unspecified,,,4450272,Taxi,Sedan,Box Truck,,
11/2/2021,23:35,MANHATTAN,10039,40.82803,-73.9348,"(40.82803, -73.934845)",WEST 155 STREET,MACOMBS PLACE,,2,0,0,0,0,0,2,0,Alcohol Involvement,Other Vehicular,Other Vehicular,,,4475078,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
8/27/2021,15:21,BROOKLYN,11211,40.70648,-73.9638,"(40.70648, -73.96375)",CLYMER STREET,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Passing Too Closely,Unspecified,,,4451175,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
12/12/2021,14:45,STATEN ISLAND,10305,40.59773,-74.0674,"(40.597733, -74.067406)",MCCLEAN AVENUE,JACKSON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4485825,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,
8/29/2021,0:00,QUEENS,11434,40.68158,-73.7655,"(40.68158, -73.76548)",MERRICK BOULEVARD,127 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Other Vehicular,Unspecified,,,4451861,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
8/26/2021,21:35,STATEN ISLAND,10310,40.634,-74.1242,"(40.633995, -74.12415)",CASTLETON AVENUE,DONGAN STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Failure to Yield Right-of-Way,Unspecified,,,4453128,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
11/7/2021,1:00,BROOKLYN,11203,40.65011,-73.9302,"(40.65011, -73.930214)",UTICA AVENUE,SNYDER AVENUE,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4474874,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
8/27/2021,21:15,BROOKLYN,11224,40.57604,-73.9901,"(40.576042, -73.99008)",MERMAID AVENUE,WEST 23 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Traffic Control Disregarded,Unspecified,,,4475890,E-Bike,Sedan,Sedan,,
9/2/2021,3:00,MANHATTAN,10037,40.81281,-73.9418,"(40.812813, -73.94181)",LENOX AVENUE,WEST 133 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,Unspecified,,,4452938,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
11/9/2021,16:30,BRONX,10467,40.85632,-73.8724,"(40.856323, -73.87244)",BRONX RIVER PARKWAY,PELHAM PARKWAY,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,Driver Inattention/Distraction,,4476007,Sedan,Sedan,Sedan,,
9/5/2021,7:00,QUEENS,11413,40.66549,-73.7524,"(40.66549, -73.75236)",SOUTH CONDUIT AVENUE,225 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,,,4453992,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
9/5/2021,14:55,BRONX,10460,40.84459,-73.8817,"(40.844593, -73.88167)",EAST 180 STREET,DALY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4454199,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
9/6/2021,22:06,MANHATTAN,10032,40.83406,-73.9449,"(40.83406, -73.944885)",BROADWAY,WEST 157 STREET,,4,0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Other Vehicular,,,4454818,Sedan,Station Wagon/Sport Utility Vehicle,PK,,
7/7/2022,16:49,BROOKLYN,11234,40.6287,-73.9193,"(40.6287, -73.91926)",AVENUE J,EAST 59 STREET,,4,0,2,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4544647,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
7/6/2022,14:59,BRONX,10466,40.88845,-73.842,"(40.888454, -73.84197)",BAYCHESTER AVENUE,EAST 233 STREET,,2,0,0,0,0,0,2,0,Oversized Vehicle,Unsafe Lane Changing,Other Vehicular,Unspecified,,4544781,Pick-up Truck,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
9/8/2021,11:30,MANHATTAN,10128,40.78587,-73.9509,"(40.785866, -73.950935)",EAST 96 STREET,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4455938,Sedan,Sedan,Sedan,,
9/10/2021,0:00,BROOKLYN,11203,40.64993,-73.9331,"(40.64993, -73.93312)",SNYDER AVENUE,SCHENECTADY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4455729,Sedan,Sedan,Sedan,,
9/6/2021,11:00,BROOKLYN,11233,40.6766,-73.9304,"(40.676598, -73.93039)",UTICA AVENUE,PACIFIC STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4456242,Sedan,Station Wagon/Sport Utility Vehicle,Budget tru,,
9/8/2021,19:21,BROOKLYN,11208,40.68219,-73.8698,"(40.682186, -73.86982)",ATLANTIC AVENUE,AUTUMN AVENUE,,4,0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,,4455270,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
11/11/2021,16:15,BRONX,10466,40.90152,-73.847,"(40.90152, -73.84695)",BAYCHESTER AVENUE,EAST 241 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unsafe Speed,Unspecified,Unspecified,,4477140,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,
11/10/2021,13:00,STATEN ISLAND,10306,40.57047,-74.1098,"(40.570465, -74.10977)",HYLAN BOULEVARD,NEW DORP LANE,,2,0,0,0,0,0,2,0,Following Too Closely,Other Vehicular,Unspecified,Unspecified,,4476422,Sedan,Pick-up Truck,Sedan,Sedan,
10/30/2021,21:45,QUEENS,11433,40.69687,-73.7807,"(40.69687, -73.78072)",110 AVENUE,173 STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,4477342,Sedan,Sedan,Sedan,LIMO,Sedan
4/17/2022,19:00,QUEENS,11373,40.74306,-73.8777,"(40.743057, -73.87769)",WHITNEY AVENUE,JUDGE STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4520067,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
11/14/2021,0:30,BROOKLYN,11213,40.67741,-73.9303,"(40.677414, -73.93033)",UTICA AVENUE,ATLANTIC AVENUE,,4,0,0,0,0,0,4,0,Unsafe Speed,Other Vehicular,Other Vehicular,,,4477688,Taxi,Sedan,Sedan,,
11/15/2021,6:25,QUEENS,11434,40.66792,-73.7752,"(40.667915, -73.77523)",NORTH CONDUIT AVENUE,160 STREET,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Following Too Closely,Unspecified,,,4477971,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
11/16/2021,17:33,QUEENS,11419,40.68804,-73.8328,"(40.68804, -73.83275)",101 AVENUE,111 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Turning Improperly,Unspecified,,,4478205,Sedan,Sedan,Sedan,,
11/17/2021,14:02,BROOKLYN,11233,40.6719,-73.9223,"(40.671898, -73.92231)",PARK PLACE,RALPH AVENUE,,1,0,0,0,0,0,1,0,Other Vehicular,Traffic Control Disregarded,Other Vehicular,Other Vehicular,Other Vehicular,4478570,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
11/20/2021,19:00,BROOKLYN,11212,40.66077,-73.9198,"(40.66077, -73.91975)",ROCKAWAY PARKWAY,KINGS HIGHWAY,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Unspecified,Unspecified,Unspecified,4479749,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
4/19/2022,19:16,BROOKLYN,11203,40.6568,-73.928,"(40.6568, -73.928)",EAST 53 STREET,CLARKSON AVENUE,,2,0,0,0,0,0,2,0,Unsafe Speed,Other Vehicular,Other Vehicular,,,4520960,Sedan,Sedan,Sedan,,
11/21/2021,9:06,BRONX,10452,40.84126,-73.9281,"(40.84126, -73.92805)",SEDGWICK AVENUE,DEPOT PLACE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,,,4479457,Sedan,Sedan,Sedan,,
11/22/2021,0:18,QUEENS,11411,40.70229,-73.7459,"(40.702286, -73.74592)",MURDOCK AVENUE,209 STREET,,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,Other Vehicular,Unspecified,,,4479701,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
11/22/2021,8:58,BROOKLYN,11233,40.66948,-73.92,"(40.669476, -73.919975)",EASTERN PARKWAY,HOWARD AVENUE,,2,0,0,0,0,0,2,0,Other Vehicular,Other Vehicular,Unspecified,,,4480424,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
2/11/2022,19:05,QUEENS,11374,40.71338,-73.8597,"(40.71338, -73.859665)",TROTTING COURSE LANE,WOODHAVEN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4501988,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
2/9/2022,16:20,BROOKLYN,11223,40.60955,-73.9663,"(40.609554, -73.96631)",AVENUE P,EAST 7 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,Unspecified,,,4501433,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
7/11/2022,18:19,BRONX,10453,40.85381,-73.9073,"(40.853813, -73.90734)",JEROME AVENUE,EAST BURNSIDE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4545537,Box Truck,Sedan,Sedan,,
11/24/2021,15:07,STATEN ISLAND,10306,40.5732,-74.1346,"(40.573196, -74.13463)",RICHMOND ROAD,WILDER AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Following Too Closely,Unspecified,,,4481167,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
2/11/2022,18:45,QUEENS,11361,40.76199,-73.7585,"(40.761993, -73.75849)",NORTHERN BOULEVARD,223 STREET,,1,0,0,0,0,0,1,0,Other Vehicular,Traffic Control Disregarded,Unspecified,Unspecified,,4501893,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
11/29/2021,17:10,MANHATTAN,10035,40.80574,-73.9407,"(40.805737, -73.94065)",EAST 125 STREET,MADISON AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4482199,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,E-Bike,,
4/20/2022,17:34,QUEENS,11423,40.72106,-73.7595,"(40.72106, -73.75945)",FRANCIS LEWIS BOULEVARD,HILLSIDE AVENUE,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Driver Inexperience,Unspecified,,,4520691,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
11/30/2021,13:35,QUEENS,11435,40.68751,-73.8067,"(40.687508, -73.80666)",109 AVENUE,139 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,4482412,Sedan,Sedan,Sedan,Pick-up Truck,Sedan
4/10/2022,10:19,QUEENS,11432,40.70668,-73.7992,"(40.706684, -73.79915)",162 STREET,89 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,Unspecified,Unspecified,,4521170,Sedan,Sedan,Sedan,Sedan,
12/2/2021,9:00,QUEENS,11421,40.69022,-73.8546,"(40.690216, -73.854645)",89 STREET,89 AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unsafe Speed,Unspecified,,,4483239,Sedan,Sedan,Sedan,,
12/9/2021,15:00,MANHATTAN,10027,40.80777,-73.9455,"(40.80777, -73.94549)",WEST 125 STREET,LENOX AVENUE,,2,0,0,0,2,0,0,0,Passing Too Closely,Passing or Lane Usage Improper,Unspecified,,,4486673,Bike,Sedan,Taxi,,
4/23/2022,13:07,BRONX,10453,40.86186,-73.9128,"(40.861862, -73.91275)",WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,,2,0,0,0,0,0,2,0,Following Too Closely,Other Vehicular,Unspecified,,,4521299,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
11/26/2021,12:36,BRONX,10451,40.81739,-73.9228,"(40.817387, -73.92277)",MORRIS AVENUE,EAST 149 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4484556,Sedan,Station Wagon/Sport Utility Vehicle,Bike,,
12/5/2021,5:28,BROOKLYN,11217,40.68305,-73.9738,"(40.68305, -73.97377)",ATLANTIC AVENUE,6 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4484258,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
7/12/2022,5:18,BRONX,10466,40.89084,-73.8622,"(40.89084, -73.862175)",CARPENTER AVENUE,EAST 228 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,,,4545860,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
12/7/2021,19:30,QUEENS,11370,40.76325,-73.8849,"(40.76325, -73.88488)",25 AVENUE,84 STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Driver Inexperience,Unspecified,,,4484677,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
12/7/2021,14:47,QUEENS,11413,40.68543,-73.7551,"(40.685432, -73.75514)",122 AVENUE,192 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Aggressive Driving/Road Rage,Other Vehicular,,,4484934,Sedan,Sedan,Sedan,,
1/22/2022,15:31,BROOKLYN,11236,40.63937,-73.9113,"(40.639366, -73.9113)",GLENWOOD ROAD,EAST 85 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4503973,Sedan,Sedan,Sedan,,
12/9/2021,7:30,BRONX,10457,40.84987,-73.8899,"(40.84987, -73.88991)",EAST 181 STREET,HUGHES AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Unspecified,,,4484943,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
12/14/2021,18:25,BROOKLYN,11207,40.65945,-73.8985,"(40.65945, -73.89847)",NEW LOTS AVENUE,SNEDIKER AVENUE,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4487072,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
4/26/2022,22:19,BROOKLYN,11207,40.66447,-73.8959,"(40.66447, -73.89593)",GEORGIA AVENUE,LIVONIA AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Unspecified,Unspecified,,4522825,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,
2/22/2022,9:24,BROOKLYN,11233,40.66948,-73.92,"(40.669476, -73.919975)",EASTERN PARKWAY,HOWARD AVENUE,,1,0,0,0,0,0,1,0,Turning Improperly,Other Vehicular,Unspecified,,,4505852,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
7/11/2022,15:05,QUEENS,11423,40.71344,-73.7607,"(40.713436, -73.7607)",JAMAICA AVENUE,93 AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4546851,Sedan,Pick-up Truck,Sedan,Sedan,Sedan
2/27/2022,17:02,BROOKLYN,11236,40.64492,-73.8943,"(40.644917, -73.894325)",AVENUE J,EAST 103 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Traffic Control Disregarded,Unspecified,,,4506054,Sedan,Sedan,Sedan,,
3/5/2022,21:42,MANHATTAN,10027,40.81937,-73.9593,"(40.819374, -73.95933)",12 AVENUE,WEST 132 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Passing or Lane Usage Improper,Other Vehicular,,,4508204,Sedan,Sedan,Box Truck,,
4/30/2022,7:43,QUEENS,11419,40.68514,-73.8206,"(40.68514, -73.8206)",122 STREET,107 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,Other Vehicular,Unspecified,,4523770,Sedan,Sedan,Sedan,Sedan,
3/4/2022,14:31,MANHATTAN,10029,40.78806,-73.9443,"(40.788055, -73.94433)",EAST 102 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,View Obstructed/Limited,Unspecified,,,4508595,Station Wagon/Sport Utility Vehicle,Sedan,Box Truck,,
5/1/2022,22:37,BROOKLYN,11207,40.67736,-73.8869,"(40.677357, -73.88687)",ATLANTIC AVENUE,WARWICK STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,,,4523941,Station Wagon/Sport Utility Vehicle,Moped,Moped,,
5/1/2022,20:30,QUEENS,11358,40.76499,-73.7977,"(40.764988, -73.7977)",35 AVENUE,168 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,,,4523731,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
3/9/2022,1:25,BROOKLYN,11218,40.63128,-73.9761,"(40.631275, -73.97606)",18 AVENUE,EAST 2 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,Unspecified,,,4508764,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
3/9/2022,19:15,QUEENS,11434,40.67238,-73.7857,"(40.672382, -73.78574)",ROCKAWAY BOULEVARD,BAISLEY BOULEVARD,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,Unspecified,,,4508952,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
3/11/2022,16:38,BRONX,10454,40.8086,-73.9098,"(40.8086, -73.909775)",SAINT MARYS STREET,CONCORD AVENUE,,2,0,0,0,0,0,2,0,Steering Failure,Other Vehicular,Other Vehicular,,,4509843,Sedan,Box Truck,Station Wagon/Sport Utility Vehicle,,
3/13/2022,19:00,QUEENS,11420,40.66546,-73.8186,"(40.665462, -73.81858)",NORTH CONDUIT AVENUE,122 PLACE,,2,0,0,0,0,0,2,0,Following Too Closely,Following Too Closely,Unspecified,,,4509768,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
3/12/2022,23:22,BROOKLYN,11233,40.67619,-73.9081,"(40.67619, -73.9081)",ATLANTIC AVENUE,EASTERN PARKWAY,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,Other Vehicular,,,4511010,Sedan,Sedan,Sedan,,
3/15/2022,19:46,BROOKLYN,11225,40.66217,-73.9537,"(40.662174, -73.953705)",LEFFERTS AVENUE,ROGERS AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,Unspecified,,,4510540,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
5/5/2022,13:19,BROOKLYN,11211,40.70955,-73.9589,"(40.70955, -73.95886)",SOUTH 5 STREET,HAVEMEYER STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Driver Inattention/Distraction,,,4525085,Motorcycle,Sedan,Box Truck,,
3/16/2022,20:20,BRONX,10468,40.86275,-73.9049,"(40.862747, -73.90494)",UNIVERSITY AVENUE,WEST FORDHAM ROAD,,0,0,0,0,0,0,0,0,Passing Too Closely,Other Vehicular,Unspecified,,,4510834,Tractor Truck Diesel,Sedan,Sedan,,
7/8/2022,3:00,MANHATTAN,10027,40.81148,-73.9502,"(40.811478, -73.950226)",WEST 127 STREET,8 AVENUE,,3,0,0,0,0,0,3,0,Alcohol Involvement,Other Vehicular,Other Vehicular,,,4547735,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
3/14/2022,14:12,QUEENS,11434,40.69207,-73.7654,"(40.692066, -73.7654)",LINDEN BOULEVARD,NEWBURG STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Passing or Lane Usage Improper,Unspecified,,,4512432,Sedan,Sedan,Sedan,,
7/19/2022,10:30,QUEENS,11106,40.76435,-73.9235,"(40.764347, -73.92347)",31 STREET,31 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,4547436,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
3/19/2022,8:19,BROOKLYN,11233,40.67619,-73.9081,"(40.67619, -73.9081)",ATLANTIC AVENUE,EASTERN PARKWAY,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,4512743,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
3/21/2022,8:09,QUEENS,11420,40.66822,-73.8187,"(40.668224, -73.81868)",149 AVENUE,122 STREET,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Unsafe Speed,Unspecified,,,4512190,Sedan,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,
4/27/2022,15:45,MANHATTAN,10001,40.75702,-74.0049,"(40.75702, -74.00494)",WEST 34 STREET,12 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,4526419,Station Wagon/Sport Utility Vehicle,Taxi,Station Wagon/Sport Utility Vehicle,,
5/8/2022,4:02,BRONX,10466,40.88126,-73.8388,"(40.881264, -73.83875)",BAYCHESTER AVENUE,BOSTON ROAD,,0,0,0,0,0,0,0,0,Other Vehicular,Pavement Slippery,Other Vehicular,Unspecified,,4526623,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,
7/18/2022,8:53,QUEENS,11105,40.7716,-73.909,"(40.7716, -73.90896)",23 AVENUE,38 STREET,,2,0,1,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4548018,Sedan,Sedan,Sedan,,
3/25/2022,3:55,MANHATTAN,10030,40.81463,-73.9442,"(40.814632, -73.9442)",WEST 134 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,Other Vehicular,,,4514093,Taxi,Station Wagon/Sport Utility Vehicle,Sedan,,
7/22/2022,0:27,BRONX,10453,40.85804,-73.9053,"(40.858044, -73.90527)",BUCHANAN PLACE,DAVIDSON AVENUE,,3,0,0,0,0,0,3,0,Other Vehicular,Unsafe Speed,Unspecified,Unspecified,,4548322,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
5/10/2022,6:26,QUEENS,11436,40.67819,-73.8014,"(40.67819, -73.80144)",140 STREET,FOCH BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,,,4528069,Sedan,Sedan,Sedan,,
7/20/2022,18:43,QUEENS,11429,40.70343,-73.7405,"(40.703434, -73.74051)",SPRINGFIELD BOULEVARD,MURDOCK AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Following Too Closely,Unspecified,,,4548066,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
4/9/2022,7:51,BRONX,10454,40.80426,-73.9193,"(40.804256, -73.9193)",SAINT ANNS AVENUE,EAST 134 STREET,,2,0,0,0,0,0,2,0,Following Too Closely,Failure to Yield Right-of-Way,Unspecified,,,4529029,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
7/3/2022,3:09,QUEENS,11414,40.66956,-73.8463,"(40.669556, -73.84634)",SOUTH CONDUIT AVENUE,89 STREET,,1,0,0,0,0,0,1,0,Alcohol Involvement,Other Vehicular,Other Vehicular,,,4543138,Sedan,Sedan,Sedan,,
7/24/2022,0:00,QUEENS,11411,40.69108,-73.7291,"(40.69108, -73.72911)",LINDEN BOULEVARD,233 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,4548967,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Bus,
